text,hoax
Heboh! Pernyataan Dokter Indonesia Soal Covid,1
Keberadaan Posko Efektif Menjaga Kepatuhan Protokol Kesehatan dan Mengendalikan Kasus Aktif,0
"Meragukan Keberadaan COVID-19, Aa Gym : ""Menzolimi Diri dan Orang Lain""",0
Satgas COVID-19 Ingatkan Pemda Tetap Waspada dan Tidak Lengah,0
"Artikel berjudul China Tidak Bisa Berbohong Lagi, WHO Akhirnya Bongkar Asal Usul Virus Corona yang Sebenarnya, Benarkah Dunia Sudah Dibohongi Selama Ini?",1
Satgas Himbau Daerah Pertahankan Tren Penurunan Pertambahan Kasus Covid-19,0
7 Fakta Vaksin COVID-19 Produksi Sinopharm,0
Data Vaksinasi COVID-19 (Update per 7 Mei 2021),0
Vaksin Terbukti Manjur Untuk Mencegah Penyakit Tertentu,0
Video Bill Gates Rapat dengan CIA Mengenai Vaksin Pada Tahun 2005,1
"Maskerku Melindungi Kamu, Maskermu Melindungi Aku",0
Pasar Kodya Cirebon Ditutup Mulai 20 Maret 2020,1
Video Obat COVID-19 Telah Ditemukan dan Siap Disebarkan ke Seluruh Indonesia,1
Infografis COVID-19 (23 Juli 2020),0
Saya merasa sakit. Apakah ini virus corona? Apakah saya perlu ke Rumah Sakit?,0
Waspadai Libur Panjang yang Acap Picu Lonjakan Kasus Positif COVID-19,0
Disiplin Jalankan Protokol Kesehatan Kunci Hindari Gelombang Kedua,0
Operasi Simpatik 2020 POLRI,1
Purworejo Lockdown Mulai Tanggal 24 Desember 2020,1
Kedatangan Vaksin AstraZeneca Upaya Mengakselerasi Herd Immunity ,0
Ketua Gugus Tugas Genjot Upaya Penanganan COVID-19 di Jatim,0
"Mitos Vaksin Salah, Faktanya Vaksin Aman",0
"PSBB di Kota Medan dilaksanakan selama 14 hari, mulai 3 hingga 17 Oktober 2020",1
Link Bantuan Pulsa 200 Ribu dan Kuota 105 GB dari Kemendikbud,1
Berpikir dan Berperilaku Positif Menghadapi COVID-19,0
Dua orang Terinfeksi Virus Corona Di Parepare,1
Penerapan Protokol Kesehatan Ojol Kunci Cegah Penyebaran COVID-19,0
"Larangan Mudik, Doni Monardo: Jangan Ada Yang Keberatan Agar Tidak Menyesal",0
Vaksin COVID-19 Dapat Mengubah DNA Manusia,1
Pelaksanaan Vaksinasi COVID-19 di Indonesia Membutuhkan Waktu 15 Bulan,0
Data Vaksinasi COVID-19 (Update per 26 Februari 2021),0
"Masyarakat Sehat, Bangkitkan Optimisme Ekonomi",0
Pasien Sembuh Terus Meningkat Mencapai 1.645.263 Orang,0
Presiden Tinjau Kesiapan Menuju Tatanan Normal Baru di Bekasi,0
Ketua Satgas Nasional Sampaikan Tiga Pesan bagi Relawan COVID-19,0
Imam Masjid Istiqlal Imbau Umat Islam Tidak Lakukan Kegiatan Berjemaah,0
Perawat Cerdas Tangani Virus Corona,0
"Kasus Positif COVID-19 Sentuh Angka 10.118, Pasien Sembuh Naik 1.522 Orang",0
Satgas Ingatkan Tradisi Belanja Lebaran Jangan Memicu Klaster Baru,0
Pasien COVID-19 di Wisma Atlet dan Rumah Sakit Daerah Menurun,0
Setelah adanya Virus Covid-19. Umat Islam Arab banyak yg Murtad,1
Kandungan Alumunium pada Vaksin Berbahaya bagi Otak,1
Satgas Covid Ingatkan Masyarakat Untuk Tetap Jalankan Protokol Kesehatan,0
"Sejumlah Negara Tak Izinkan WNI Datang, Wamenlu: RI Juga Larang WNA Masuk Saat Corona, kecuali TKA China",1
Menurunkan Kasus Aktif Dengan Meningkatkan Kesembuhan dan Menghindari Kematian,0
Anjuran Berbelanja Ketika Menjalankan “Social Distancing”,0
"Dokter, Perawat, Bidan Prioritas Pertama Divaksin COVID-19",0
Satgas Minta Dilakukan Evaluasi Menyeluruh Bagi 54 Daerah Zona Oranye,0
Kesembuhan Kumulatif Terus Meningkat Menjadi 1.032.065 Orang,0
Masyarakat Bisa Belanja Pangan Online Kurangi Kontak Saat COVID-19,0
[FALSE] There has been Looting Everywhere for Fear of the Corona Virus”,1
